Price per area,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
229344,Secondary, Павшино,3.0,Moscow region,2.0,61.0,32.7,10.0,23.0,25,Designer
256289,Secondary, Опалиха,6.0,Moscow region,2.0,63.6,38.0,13.0,2.0,8,Designer
191048,Secondary, Мякинино,26.0,Moscow region,2.0,91.6,48.7,14.3,15.0,25,European-style renovation
265333,Secondary, Пенягино,13.0,Moscow region,2.0,75.0,50.0,20.0,20.0,25,Designer
220356,Secondary, Мякинино,27.0,Moscow region,2.0,101.2,81.0,15.2,20.0,21,Without renovation
137500,Secondary, Павшино,4.0,Moscow region,2.0,40.0,22.4,9.9,1.0,3,Without renovation
208756,Secondary, Красногорская,14.0,Moscow region,2.0,34.49,22.9,5.0,12.0,24,Without renovation
162963,Secondary, Опалиха,7.0,Moscow region,2.0,54.0,32.0,8.0,9.0,9,Cosmetic
218107,Secondary, Опалиха,4.0,Moscow region,2.0,48.6,28.0,10.7,7.0,8,European-style renovation
220000,Secondary, Опалиха,5.0,Moscow region,2.0,50.0,10.0,10.8,6.0,8,European-style renovation
255814,Secondary, Мякинино,15.0,Moscow region,2.0,43.0,19.6,5.0,3.0,19,Cosmetic
220000,Secondary, Опалиха,14.0,Moscow region,2.0,50.0,27.4,10.8,2.0,4,Designer
283505,Secondary, Пенягино,15.0,Moscow region,2.0,38.8,27.0,9.0,18.0,46,European-style renovation
204545,Secondary, Павшино,13.0,Moscow region,2.0,55.0,30.0,10.0,8.0,25,European-style renovation
232000,Secondary, Мякинино,15.0,Moscow region,2.0,50.0,28.0,9.8,18.0,23,Designer
275419,Secondary, Красногорская,9.0,Moscow region,2.0,43.57,20.0,18.5,31.0,44,Designer
320000,Secondary, Пенягино,16.0,Moscow region,2.0,40.0,22.4,9.9,9.0,45,Designer
190934,Secondary, Пенягино,14.0,Moscow region,2.0,72.8,33.0,12.5,9.0,16,European-style renovation
318807,Secondary, Павшино,19.0,Moscow region,2.0,43.6,23.0,15.2,14.0,44,European-style renovation
245614,Secondary, Павшино,3.0,Moscow region,2.0,57.0,35.0,10.3,18.0,25,Designer
218594,Secondary, Пенягино,11.0,Moscow region,2.0,64.0,36.0,10.0,14.0,20,European-style renovation
234426,Secondary, Пенягино,9.0,Moscow region,2.0,61.0,40.0,12.0,16.0,17,European-style renovation
176136,Secondary, Павшино,3.0,Moscow region,2.0,88.0,45.0,15.0,17.0,25,European-style renovation
266517,Secondary, Волоколамская,15.0,Moscow region,2.0,60.0,35.0,10.0,23.0,29,European-style renovation
227147,Secondary, Митино,6.0,Moscow region,2.0,72.2,36.1,14.7,10.0,18,European-style renovation
221982,Secondary, Красногорская,15.0,Moscow region,2.0,36.94,24.0,5.0,19.0,23,Without renovation
165517,Secondary, Опалиха,40.0,Moscow region,2.0,58.0,32.0,15.0,23.0,26,Cosmetic
198246,Secondary, Павшино,13.0,Moscow region,2.0,57.0,33.0,10.0,2.0,5,Cosmetic
296392,Secondary, Пенягино,14.0,Moscow region,2.0,38.8,25.0,9.0,18.0,46,European-style renovation
239583,Secondary, Строгино,8.0,Moscow region,2.0,48.0,25.0,10.0,13.0,33,European-style renovation
271591,Secondary, Пенягино,18.0,Moscow region,2.0,44.0,26.0,10.0,3.0,45,European-style renovation
282759,Secondary, Мякинино,20.0,Moscow region,2.0,43.5,25.0,11.0,19.0,23,Designer
214162,Secondary, Красногорская,6.0,Moscow region,2.0,57.9,31.4,11.4,12.0,17,Cosmetic
250000,Secondary, Опалиха,11.0,Moscow region,2.0,49.6,26.0,9.0,3.0,7,Designer
